step,percent,exact,mean_estimate,std_dev,lower_bound,upper_bound
0,5,4908,4864.97,70.5557,4794.41,4935.52
1,10,9738,9655.29,183.7,9471.58,9838.99
2,15,14554,14522.5,194.241,14328.2,14716.7
3,20,19374,19292.9,273.808,19019.1,19566.7
4,25,24189,24069.6,376.439,23693.2,24446
5,30,29022,28909.9,440.98,28468.9,29350.9
6,35,33804,33708.4,552.986,33155.4,34261.4
7,40,38599,38509.5,587,37922.5,39096.5
8,45,43375,43301.5,574.842,42726.6,43876.3
9,50,48156,48094.8,715.85,47379,48810.7
10,55,52944,52845.8,764.769,52081,53610.5
11,60,57724,57670,800.93,56869.1,58470.9
12,65,62492,62434.9,796.926,61638,63231.8
13,70,67246,67172.8,789.304,66383.5,67962.1
14,75,72007,71877.1,888.458,70988.6,72765.6
15,80,76761,76577.2,1048.05,75529.2,77625.3
16,85,81489,81330.8,1165.85,80165,82496.7
17,90,86202,86061.3,1169.68,84891.6,87231
18,95,90944,90775.2,1406.43,89368.8,92181.6
19,100,95660,95526.6,1480.49,94046.2,97007.1
