step,percent,exact,mean_std,std_dev_std,mean_compact,std_dev_compact
0,5,4908,4864.97,70.5557,4864.97,70.5557
1,10,9738,9655.29,183.7,9655.29,183.7
2,15,14554,14522.5,194.241,14522.5,194.241
3,20,19374,19292.9,273.808,19292.9,273.808
4,25,24189,24069.6,376.439,24069.6,376.439
5,30,29022,28909.9,440.98,28909.9,440.98
6,35,33804,33708.4,552.986,33708.4,552.986
7,40,38599,38509.5,587,38509.5,587
8,45,43375,43301.5,574.842,43301.5,574.842
9,50,48156,48094.8,715.85,48094.8,715.85
10,55,52944,52845.8,764.769,52845.8,764.769
11,60,57724,57670,800.93,57670,800.93
12,65,62492,62434.9,796.926,62434.9,796.926
13,70,67246,67172.8,789.304,67172.8,789.304
14,75,72007,71877.1,888.458,71877.1,888.458
15,80,76761,76577.2,1048.05,76577.2,1048.05
16,85,81489,81330.8,1165.85,81330.8,1165.85
17,90,86202,86061.3,1169.68,86061.3,1169.68
18,95,90944,90775.2,1406.43,90775.2,1406.43
19,100,95660,95526.6,1480.49,95526.6,1480.49
